Name,ID,Chromosome,Strand,Gene start,Gene end,Expression start,Expression end,Alias Name,Type,Source,Expression,Host gene,overlapping gene,Rfam ID,p-value,RNA family name,RNA family,comment,Conservation,Reported1 (R) ,Human1 (H),Conserved1 (C),Selected1,ICI1,,Reported2 (R),Human2 (H),Conserved2 (C),Selected2,ICI,,,,,,,,,,,,,
SNORD31,SnoID_0001,chr11,-,62620798,62620865,62620865,62620801,SNORD31,CD,HUGO,211623697,SNHG1,SNORD31,RF00089,7.50E-022,SNORD31,Small nucleolar RNA SNORD31,,Deuterostomes,-,28S-4841,28S-1832,NA,0.63 (C),,28S-4166,28S-4166,28S-4166,RCH:28S-4166,0.95,,,,,,,,,,,,,
SNORD38A,snoID_0002,chr1,+,45243514,45243584,45243515,45243582,SNORD38A,CD,HUGO,184203407,RPS8,SNORD38A,RF00212,9.10E-017,SNORD38,Small nucleolar RNA SNORD38,,Vertebrates,-,28S-4082,NA,NA,0.23 (H),,28S-1858,28S-1858,28S-1858,RCH:28S-1858,1.24,,,,,,,,,,,,,
SNORD65,snoID_0003,chr17,+,16344540,16344612,16344538,16344612,SNORD65,CD,HUGO,175648163,C17orf76-AS1,SNORD65,RF00571,1.30E-026,SNORD65,Small nucleolar RNA SNORD65,,Vertebrates,-,28S-4582,18S-699,NA,0.75 (C),,18S-627,18S-627,18S-627,RCH:18S-627,2.11,,,,,,,,,,,,,
SNORD78,snoID_0004,chr1,-,173834771,173834824,173834823,173834762,SNORD78,CD,HUGO,152089963,GAS5,SNORD78,RF00592,6.00E-022,SNORD78,Small nucleolar RNA SNORD78,,Tetrapodes and Teleostes,-,U4atac.2-104,NA,NA,0.2 (H),,28S-4593,28S-4593,28S-4593,RCH:28S-4593,1.6,,,,,,,,,,,,,
SNORD44,snoID_0005,chr1,-,173835106,173835166,173835166,173835106,SNORD44,CD,HUGO,92509210,GAS5,SNORD44,RF00287,4.80E-020,SNORD44,Small nucleolar RNA SNORD44,,Tetrapodes and Teleostes,18S-166,18S-166,18S-166,RCH:18S-166,1.48,,-,18S-24,NA,NA,0.12 (H),,,,,,,,,,,,,
SNORD76,snoID_0006,chr1,-,173835773,173835853,173835851,173835774,SNORD76,CD,HUGO,85151249,GAS5,SNORD76,RF00069,2.40E-011,SNORD24,Small nucleolar RNA SNORD24,,Vertebrates,-,U1.1-132,NA,NA,0.14 (H),,28S-2350,28S-2350,NA,RH:28S-2350,0.6,,,,,,,,,,,,,
SNORD79,snoID_0007,chr1,-,173834488,173834568,173834567,173834488,SNORD79,CD,HUGO,53384564,GAS5,SNORD79,RF00152,1.80E-017,SNORD79,Small nucleolar RNA SNORD79,,Tetrapodes and Teleostes,-,28S-4262,NA,NA,0.3 (H),,28S-3809,28S-3809,28S-3809,RCH:28S-3809,1.19,,,,,,,,,,,,,
SNORD26,snoID_0008,chr11,-,62622764,62622838,62622838,62622764,SNORD26,CD,HUGO,46741053,SNHG1,SNORD26,RF00087,2.40E-022,SNORD26,Small nucleolar RNA SNORD26,,Tetrapodes and Teleostes,-,NA-NA,NA,NA,0 (H),,28S-389,28S-389,18S-435,RH:28S-389,0.94,,,,,,,,,,,,,
SNORD13,snoID_0009,chr8,+,33370993,33371096,33370992,33371096,SNORD13,CD,HUGO,43879915,NA,SNORD13,RF01210,1.50E-034,snoU13,Small nucleolar RNA U13,cleavage of pre-rRNA,Vertebrates,-,U1.10-142,18S-1322,C:18S-1322,1.17,*,-,28S-2162,NA,NA,0 (H),,,,,,,,,,,,,
SNORD83A,snoID_0010,chr22,-,39711218,39711312,39711309,39711221,SNORD83A,CD,HUGO,32545204,RPL3,SNORD83A,RF00593,2.00E-023,snoU83B,Small nucleolar RNA U83B,,Deuterostomes,18S-468,18S-468,18S-468,RCH:18S-468,1.87,,-,U2.1-164,NA,NA,0 (H),,,,,,,,,,,,,
