"Sequence",0,1,2
"snoRNA:SNORD116_ENSMUSG00000077772_89|chr7|-|59923035|59923122|0|0",-93.74015808105469,-39.63223648071289,36.84920120239258
"snoRNA:SNORD116_ENSMUSG00000093802_92|chr7|-|59804472|59804564|0|0",-8.50802230834961,-60.602752685546875,-13.284440994262695
"snoRNA:SNORD116_ENSMUSG00000093869_92|chr7|-|59781781|59781873|0|0",-11.484542846679688,-63.854469299316406,-4.400604248046875
"snoRNA:SNORD116_ENSMUSG00000093929_94|chr7|-|59673462|59673554|0|0",-8.90792465209961,-59.09360885620117,-13.914714813232422
"snoRNA:SNORD116_ENSMUSG00000093971_94|chr7|-|59889594|59889686|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000093974_94|chr7|-|59861732|59861824|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094039_94|chr7|-|59887058|59887150|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094060_92|chr7|-|59779251|59779343|0|0",-6.970027923583984,-65.32662963867188,-9.372934341430664
"snoRNA:SNORD116_ENSMUSG00000094069_94|chr7|-|59700879|59700971|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094109_90|chr7|-|59764089|59764181|0|0",-39.420326232910156,-55.36602020263672,-55.915069580078125
"snoRNA:SNORD116_ENSMUSG00000094150_94|chr7|-|59726162|59726254|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094218_92|chr7|-|59766612|59766704|0|0",-28.186059951782227,-56.7933349609375,-46.952980041503906
"snoRNA:SNORD116_ENSMUSG00000094236_94|chr7|-|59695745|59695837|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094274_94|chr7|-|59904756|59904848|0|0",-5.356258392333984,-57.96021270751953,-14.44515609741211
"snoRNA:SNORD116_ENSMUSG00000094287_94|chr7|-|59859215|59859307|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094389_94|chr7|-|59871865|59871957|0|0",-8.90792465209961,-59.09360885620117,-13.914714813232422
"snoRNA:SNORD116_ENSMUSG00000094407_88|chr7|-|59705969|59706061|0|0",-10.256233215332031,-35.879234313964844,-7.640253067016602
"snoRNA:SNORD116_ENSMUSG00000094573_94|chr7|-|59874381|59874473|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094581_94|chr7|-|59693221|59693313|0|0",-1.4974403381347656,-32.06681442260742,-12.94845199584961
"snoRNA:SNORD116_ENSMUSG00000094599_94|chr7|-|59892112|59892204|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094642_94|chr7|-|59899688|59899780|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094831_92|chr7|-|59784294|59784386|0|0",-8.50802230834961,-60.602752685546875,-13.284440994262695
"snoRNA:SNORD116_ENSMUSG00000094837_92|chr7|-|59761555|59761647|0|0",-7.331592559814453,-64.28793334960938,-10.64323616027832
"snoRNA:SNORD116_ENSMUSG00000094890_94|chr7|-|59678510|59678602|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094923_94|chr7|-|59751490|59751582|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094960_94|chr7|-|59711010|59711102|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094987_94|chr7|-|59869331|59869423|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000094994_92|chr7|-|59748957|59749049|0|0",-7.331592559814453,-64.28793334960938,-10.64323616027832
"snoRNA:SNORD116_ENSMUSG00000094997_92|chr7|-|59791845|59791937|0|0",-8.50802230834961,-60.602752685546875,-13.284440994262695
